label,text
3,"homologo a desistência de todas as testemunhas. julgo improcedente a pretensão punitiva estatal para impronunciar os acusados victor hugo medeiros magalhães do delito do artigo 121, §2º, incisos i e iv, c/c artigo 14, inciso ii, ambos do código penal, que lhe fora imputado, o que faço com fulcro no artigo 414 do código de processo penal. "
0,"defiro o levantamento dos valores depositados em conta judicial, conforme os extratos (1124/1125), em favor do credor. "
1,"julgo extinto o processo sem resolução do mérito, por abandono da causa por mais de 30 (trinta) dias. defiro eventual pedido de substituição dos documentos que embasaram a inicial por cópias, devendo os originais serem entregues à parte promovente. "
2,"defiro a cota ministerial de fls. 109.2- notifique(m)-se o(a)(s) ré(u)(s), nos termos do artigo 55, da lei 11.343/2006. "
3,defiro ao autor os benefícios da assistência judiciária gratuita. 
1,defiro o requerido à página 73. 
0,defiro o pedido retro. 
2,"pronuncio o réu jeferson biazus dos santos como incurso nas penas do artigo 121, § 2º, incisos ii e iv, do código penal, c/c o artigo 14, inciso ii, do código penal. 19 64-2-057/2018/26888 - 057/2.17.0000001-6 (cnj:.0000001- 56.2017.8.21.0057) g) prisão preventiva: o réu poderá aguardar o julgamento pelo tribunal do júri em liberdade, pois assim permanece desde o início do processo, não restando configuradas, ao menos por ora, nenhuma das hipóteses do artigo 312 do código de processo penal. julgo procedente a denúncia e pronuncio o réu jeferson biazus dos santos como incurso nas penas do artigo 121, § 2º, incisos ii e iv, do código penal, c/c o artigo 14, inciso ii, do código penal, para submetê-lo a julgamento pelo tribunal do júri. "
3,"defiro ao requerido, o prazo de 30 para manifestação acerca das fls.1435 e seguintes, conforme requerido. "
2,defiro o requerido às fls. 308/309. 
1,extinto o processo por abandono da causa pelo autor 
0,"julgo extinto o processo, nos termos do artigo 794, i, do c.p.c. homologo a renúncia ao direito de recorrer, certificando-se desde logo o trânsito em julgado desta sentença. "
1,"julgo extinto o processo sem resolução do mérito em relação ao executado josé eduardo martinho hornos, com fundamento no art. 485, iv e vi, do cpc (ilegitimidade de parte), devendo a execução prosseguir somente em relação a tatiana dos anjos oliveira hornos, restando prejudicada a sucessão deferida às fls. 89, até porque não foram citados todos os herdeiros/sucessores de fls. 87/88.no mais, considerando que o despacho determinando a citação dos réus foi proferido por juízo incompetente e que o prazo para pagamento ou apresentação de embargos de tatiana dos anjos oliveira hornos não havia iniciado em razão da ausência de citação do então corréu josé eduardo, determino a realização de nova citação de tatiana, na forma do art. 701 do cpc.após o trânsito em julgado desta decisão, remetam-se os autos ao sedi para exclusão de jose eduardo do polo passivo, bem como dos sucessores manuela e joão pedro.intimem-se, inclusive o mpf.publique-se. "
2,"declaro à sociedade de são bento do una que o acusado josé melo dos santos (zizi) foi condenado pela prática da conduta tipificada no art. 121, § 2º, incisos ii e iv c/c art. 14, ii, ambos do código penal brasileiro. "
1,"julgo extinto o processo, sem a... "
2,"acolho a preliminar suscitada. não acolho tais pedidos, temas já pacificados, conforme edição de súmula nº 65, a seguir transcrita: súmula trt5 nº 65 i - recolhimento de fgts. nego provimento ao recurso ordinário. "
2,"nego seguimento ao recurso de revista, à míngua de pressupostos legais de admissibilidade. "
1,"julgo extinto o processo sem resolução do mérito em relação ao pedido de classificação como atividade especial daquela exercida pela autora nos períodos de 01.06.1992 a 29.11.1994 trabalhado para ""hospital maternidade frei galvão"" e de 01.04.1997 a 30.04.1997 trabalhado para ""centro pediátrico e ortopédico de guaratinguetá ltda"". julgo parcialmente procedente o pedido formulado por julialvina aparecida cordeiro em face do instituto nacional do seguro social - inss e, a fim de que o inss reconheça como especiais os períodos de 03.07.1995 a 30.09.1996, trabalhado no ""grupo fraternidade irmão altino"" e 01.07.1997 a 23.10.2001, trabalhado na ""irm. condeno o réu no pagamento da metade das despesas processuais e honorários de advogado de cinco por cento do valor das prestações vencidas até a data da prolação da sentença (súmula nº 111 do superior tribunal de justiça). "
3,"julgo improcedentes os embargos declaratórios das partes, nos termos da fundamentação supra. "
2,"julgo procedentes em parte os embargos de declaração interpostos pela reclamada, para que os valores calculados sejam adequados, conforme supra fundamentado, passando-se o valor do crédito do obreiro para a quantia de r$ 373.796,31 (trezentos e setenta e três mil, setecentos e noventa e seis reais e trinta e um centavos). "
2,"declaro a responsabilidade subsidiária da segunda reclamada pelo cumprimento da sentença, quanto às verbas contratuais ou não contratuais, por todo o vínculo. defiro os pedidos de letras ""c"", ""d"", ""e"", ""f"", ""g"" e ""h"" da inicial. defiro o pedido e a condenação da reclamada em pagamento de r$5.000,00 (cinco mil reais) a título de danos morais pelo atraso no pagamento dos salários e não pagamento das verbas rescisórias. extingo o pedido relacionado sem resolução de mérito. julgo parcialmente procedente a pretensão formulada na reclamatória trabalhista proposta por carine silva de jesus e fernanda dos santos souza, contra def telecom ltda - me, jailton santos da silva e telefonica brasil s.a,, condenando a primeira reclamada, e a terceira reclamada, subsidiariamente, no cumprimento da presente sentença, nos termos da fundamentação retro, que aqui se integra como se estivesse literalmente transcrita. "
0,defiro o prazo requerido. 
0,"defiro o sobrestamento do feito pelo prazo de 180 (cento e oitenta) dias, conforme solicitado. "
2,"defiro o sobrestamento do feito pelo prazo de 30 (trinta) dias, para o síndico apresentar o quadro geral de credores e o relatório final dos atos de administração da massa falida. "
2,defiro os benefícios da justiça gratuita (lei n.1.060/50). 
0,defiro parcialmente a antecipação dos efeitos da tutela . 
3,declaro o feito saneado. 
1,"julgo extinto o processo sem resolução do mérito.certificado o trânsito em julgado, dê-se baixa e arquivem-se os autos.p.r.i. "
1,defiro a inclusão requerida. 
2,"defiro o pagamento a título de intervalo intrajornada não usufruído de 01 (uma) hora diária, três vezes por semana, com acréscimo de 50% e repercussão somente em dsr e fgts, ante a falta de habitualidade. defiro à reclamante o benefício da gratuidade de justiça. julgo procedentes em parte os demais pedidos formulados, condenando o reclamado a pagar ao autor o que se apurar em liquidação por simples cálculos, com base no salário de r$ 1.193,50, a título de intervalo intrajornada não usufruído de 01 (uma) hora diária, três vezes por semana, com acréscimo de 50% e reflexos em dsr e fgts. "
2,"defiro pedido retro para que seja expedida certidão de crédito referente a presente demanda, em virtude de se tratar de crédito concursal. julgo extinto o processo, na forma do art. 924, ii, do novo cpc (lei nº 13.105/2015). "
0,"homologo os cálculos de fls. 570/602 (r$ 33.117,81 - atualizado até 28/08/2013) para que surtam seus jurídicos e legais efeitos (artigo 269, inciso iii, e artigo 569, ambos do código de processo civil). "
1,"julgo extinto o processo sem resolução do mérito, com fundamento no art. 485, inciso iii, do código de processo civil. "
1,defiro as datas solicitadas pelo sr. 
1,extinto o processo por abandono da causa pelo autor 
2,".julgo procedente o pagamento de hora extras excedentes a jornada de 8h/diárias, com adicional de 50%, considerando a escala de 16 plantões mensais, com jornada no período de 30.07.2015 a 14.04.2016, das 19h às 8h, e de 15.04.2016 até a data de seu desligamento laborou das 19h às 7h, com reflexos em aviso prévio, férias 1/3, 13º salário e fgts"". "
3,"condeno o embargante na multa de 1% (um por cento) sobre o valor da causa nos termos do parágrafo único do art. defiro o requerimento, a fim de que as publicações sejam realizadas exclusivamente em nome do advogado paulo emílio nadier lisbôa, oab/ba nº 15.530, e hélio veiga, oab/ba nº 16.332, constituído mediante procuração nos autos. "
1,extinto o processo por abandono da causa pelo autor 
1,defiro a producao das provas requeridas. 
0,defiro o sobrestamento do feito. 
2,"julgo procedente em parte a denúncia de fls. 02/03 , para pronunciar , como pronunciados tenho, os acusados edmilson josé da silva , vulgo “ pipão ”, josé mario da silva , vulgo “ duda ” e antonio augustinho da silva , devidamente qualificados, dando-os como incurso nas sanções dos art. 121, § 2º, incs. "
3,defiro a dilação de prazo até o dia 22/01/2018 para a telefônica brasil comprovar o depósito dos valores já determinados em decisão pretérita. 
0,"defiro a expedição da carta de sentença, providencie-se o necessário. defiro a expedição de mandado de levantamento em prol dos expropriados, tendo em vista o acordo de fls. 1188/1190. "
3,"julgo improcedentes os embargos declaratórios das partes, nos termos da fundamentação supra. "
1,"julgo extinto o processo sem resolução do mérito, com fundamento no artigo 51, iii, da lei n.º 9.099/95. "
0,"declaro prescrita a pretensão do autor em postular os direitos trabalhistas prescritíveis e exigíveis anteriores a 03/01/2014, extinguindo-se a ação com resolução do mérito em relação a estas parcelas, inclusive no que tange ao fgts, inteligência da súmula 3621 do c. decide esse juízo declarar prescrita a pretensão do autor em postular os direitos trabalhistas prescritíveis e exigíveis anteriores a 03/01/2014, extinguindo-se a ação com resolução do mérito em relação a estas parcelas, inclusive no que tange ao fgts, nos termos do art. 487, inciso ii, do cpc. decide ainda esse juízo rejeitar as preliminares levantadas pelas defesas e no mérito julgar parcialmente procedentes os pedidos formulados na reclamação trabalhista ajuizada por francisco valdeilson agostinho do nascimento em face de kioma segurança e serviços ltda - epp, instituto de saúde e gestao hospitalar e município de fortaleza, para, reconhecendo a demissão sem justa causa em 27/06/2018, com aviso prévio trabalhado, condenar a reclamada kioma segurança e serviços ltda - epp e as outras duas subsidiariamente, no pagamento, no prazo de 48 horas após o trânsito em julgado, das seguintes parcelas, considerando a data 22/12/2013 como início do pacto laboral, 27/06/2018 como data final e o salário do autor como r$ 1.780,68,: 15 horas extras mensais, decorrentes da supressão do intervalo intrajornada do período de 03/01/2014 (observada a prescrição) a 30/04/2015 (respeitando o limite do pedido), deverão ser acrescidas de 50%. "
0,".defiro a extração de cópias dos livros de registro de empregados, em nome dos interessados maria madalena batista e hamilton fernandes pimentel, conforme postulado pelo síndico (fls. 1761).int. "
0,"declaro incidentalmente a ilegalidade da dispensa do obreiro demandante, ocorrida no dia 06.02.2017, posto que obstativa, uma vez que no momento de sua ocorrência ainda se encontrava em curso o período da estabilidade acidentária que trata o art. 118 da lei nº 8.213/91. julgo ausentes os requisitos legais para o reconhecimento da estabilidade provisória no emprego, de acordo as disposições do art. 118 da lei n. nego provimento. "
3,homologo os cálculos de fls. 196/197. 
1,"julgo extinto o processo, sem resolução do mérito, na forma prevista pelo art. 267, inciso iii, do cpc, vez que restou demonstrado o absoluto desinteresse no prosseguimento da causa. "
0,"nego provimento.fgts. nego provimento negado.conclusãoante o exposto, nego provimento à remessa necessária e ao recurso ordinário voluntário do município de primavera - pe.acórdãocabeçalho do acórdãoacórdãoacordam os membros integrantes da segunda turma do tribunal regional do trabalho da 6ª região, por unanimidade, negar provimento à remessa necessária e ao recurso ordinário voluntário do município de primavera - pe. "
1,"defiro a devolução do prazo, publicando-se novamente em nome do procurador mencionado. "
0,"defiro e reabro prazo para manifestação dos herdeiros que ainda não se manifestaram, devendo ser observada a decisão proferida nos autos em apenso, que deverá ser publicada em conjunto com esta, no dje. "
0,"julgo prejudicado o exame dos critérios de transcendência da causa e nego provimento ao agravo de instrumento.” (fls. nego provimento ao agravo e, ante sua manifesta improcedência, aplico multa de 2% do valor atualizado da causa, nos termos do art. "
1,"julgo extinto o processo sem resolução do mérito, em razão da inércia da parte demandante, conforme art. 485, iii do cpc. defiro a gratuidade. "
1,"defiro a imissão provisória na posse, com fulcro no art. 15 do dl 3.365/41. "
2,"defiro o requerido pela ilustre representante do ministério público a fls.40, item 02, solicitando-se folha de antecedentes criminais e certidões de antecedentes criminais do acusado. defiro o requerido pela ilustre representante do ministério público a fls. 797, item 02 e 03, devendo a z. "
3,"julgo improcedentes os embargos de declaração interpostos por thelma moraes dos santos souza, anne victória moraes santos souza e leôncio gabriel moraes santos souza, nos termos da fundamentação supra. "
2,defiro a penhora no rosto dos autos do feito nº 281/05. 
2,"nego provimento ao recurso do reclamante.item de recursorecurso do reclamado das horas in itinere e reflexos - a parte reclamada pugna por reforma da sentença com alegação de que não cabe a condenação neste ponto porque as horas de percurso já estavam inclusas na jornada. nego provimento ao recurso da parte reclamada.conclusão do recursoacórdãocabeçalho do acórdãoacórdãoacordam os excelentíssimos desembargadores integrantes da terceira turma do tribunal regional do trabalho da 5ª região, na 15ª sessão ordinária virtual, aberta em 04.08.2020 e encerrada em 11.08.2020, com pauta divulgada no diário eletrônico da justiça do trabalho, edição do dia 16.07.2020, sob a presidência, em exercício, da excelentíssima desembargadora do trabalho vânia jacira tanajura chaves, e com a presença dos excelentíssimos desembargadores tadeu vieira e humberto machado, e do excelentíssimo representante do ministério público do trabalho, por unanimidade, negar provimento a ambos os recursos.assinaturaluiz tadeu leite vieira desembargador relator /11votos "
2,"julgo parcialmente procedente o presente pedido para determinar que se inclua o crédito habilitado no quadro geral de credores, no valor de r$5.531,95 (cinco mil, quinhentos e trinta e um mil e noventa e cinco centavos), como crédito quirografário. "
0,"defiro o pagamento da multa do art. 477, §8º, da clt. defiro o pagamento de uma multa convencional para cada convenção coletiva de trabalho vigente no curso do contrato de trabalho (convenções coletivas de trabalho 2014/2015 e 2015/2016), no valor de 10% sobre o piso salarial de ajudante, no total de duas multas convencionais. defiro o pagamento de: - uma hora dária (primeiro ao terceiro mês de labor) uma hora e trinta e dois minutos diários (quarto ao sexto mês de labor) e duas horas e doze minutos diários (restante do contrato de trabalho), devendo ser deduzidos da condenação os valores quitados nos contracheques a título de horas ""in itinere"". condeno o reclamante em litigância de má fé, desde já arbitrada em 1% sobre o valor da causa, reversível à reclamada (arts. 80 e 81 do cpc). defiro a devolução do desconto procedido no trct a título de licença remunerada. defiro os benefícios da gratuidade judiciária, isentando a parte reclamante do pagamento de custas e das despesas processuais (art. 790, § 3º, da clt). declaro que a natureza das parcelas deferidas nesta sentença obedece ao que dispõe o art. 28 da lei 8.212/91, tendo natureza salarial as parcelas deferidas, com exceção da multa convencional, multa do art. 477, §8º, da clt devolução do desconto procedido no trct a título de licença remunerada e das repercussões em férias 1/3 /fgts 40%. julgo os pedidos parcialmente procedentes, para condenar a reclamada a pagar ao reclamante as seguintes parcelas: - multa do art. 477, §8º, da clt - duas multas convencionais, na forma da fundamentação - horas ""in itinere"", com reflexos, na forma da fundamentação - devolução do desconto procedido no trct a título de licença remunerada. "
2,"acolho a preliminar arguida pela contestante. pronuncio a prescrição quinquenal das pretensões anteriores a 02/01/2012, extinguindo com resolução do mérito os pedidos a ele relativos (cpc/2015, art. 487, ii). julgo procedente o pedido de pagamento do adicional de insalubridade no grau máximo (40%), de 02/01/2012 (marco prescricional) até o final do contrato de trabalho, calculado sobre o salário mínimo, conforme art. 192 da clt, e reflexos em aviso prévio, 13º salário, férias 1/3 e fgts 40%. julgo improcedente o pedido de pagamento de horas in itinere. julgo improcedente o pedido. julgo improcedentes os pedidos de reintegração ao emprego, emissão da cat, pagamento de salários, bem como de indenização por danos morais. condeno a ré ao pagamento de honorários advocatícios sucumbenciais, ora arbitrados em 10% sobre o valor que resultar da liquidação da sentença, nos termos do art. 791-a da clt. condeno o autor ao pagamento da verba honorária, ora arbitrada em 5% sobre o valor da referida diferença, tendo em vista a presunção de hipossuficiência do trabalhador, na forma prevista pelo art. 791-a da clt. decide pela aplicação imediata sobre as demandas pendentes da denominada lei da reforma trabalhista, inclusive no que diz respeito à justiça gratuita. defiro os benefícios da justiça gratuita na forma pleiteada, nos termos da previsão contida no art. 790, § 3º, da clt. defiro a dedução dos valores comprovadamente pagos sob os mesmos títulos das verbas ora deferidas. decide a juíza titular da 2ª vara do trabalho de parauapebas, na presente reclamação trabalhista ajuizada por nivaldo de jesus araujo em face de salobo metais s/a, julgá-la em parte procedente para: 1. condeno a reclamada ao pagamento de honorários advocatícios sucumbenciais, ora arbitrados em 10% sobre o valor que resultar da liquidação da sentença, nos termos do art. 791-a da clt. condeno o autor ao pagamento da verba honorária, ora arbitrada em 5% sobre o valor da diferença entre o valor da causa e o valor da liquidação da sentença, tendo em vista a presunção de hipossuficiência do trabalhador, na forma prevista pelo art. 791-a da clt. "
2,"condeno a reclamada ? retifica??o da ctps, bem como ao pagamento do saldo de sal?rio (14 dias) e do fgts referente ao per?odo de treinamento. condeno a reclamada ao pagamento de indeniza??o por danos morais. condeno a reclamada nas seguintes obriga??es: a) baixa da ctps oper?ria, na data supra, sob pena de comina??o de astreintes. julgo procedentes em parte os pedidos formulados por carina carvalho reis a fim de condenar o r?(u) tel centro de contatos ltda ao cumprimento das obriga??es deferidas no curso da fundamenta??o supra, que passa a integrar este ""decisum"" para todos os fins de direito. "
3,defiro o prazo de 30 dias. 
1,extinto o processo por desistência 
3,"acolho o pedido autoral, proceda-se à tentativa de constrição de valores por meio do bacenjud. "
3,defiro o prazo de vinte dias para o d.e.r manifestar-se acerca do cálculo liquidação. 
1,"homologo os caluclos de fl. 217, ante a concordância de todos os interessados. "
3,"julgo improcedente o pedido autoral. condeno a promovente nas custas processuais e em honorários advocatícios que fixo em 10% (dez por cento), sobre o valor da causa, com supedâneo no art. 85, § 2° do código de processo civil. "
2,.defiro o pedido. 
3,"julgo improcedente a pretensão punitiva estatal para absolver o réu jorge silva, nos termos do artigo 386, inciso vi, do cpp.quanto à arma e munições apreendidas (fl. 08), encaminhe-se ao comando do exército, nos termos do artigo 276 do provimento core 64/2005, a fim de que sejam destruídas.após o trânsito em julgado, oficie-se ao departamento competente para fins de estatísticas e antecedentes criminais, e remetam-se os autos ao sedi para as devidas anotações. "
3,embargos de declaração não-acolhidos 
3,"julgo improcedentes os presentes embargos. julgo improcedente o pedido dos embargos de terceiro ajuizados por m silva transportadora ltda me em face de rodoeste transportes e turismo ltda me, josé do nascimento, alternativa - ltda cooperativa de trabalho do transporte autônomo de passageiro e mlf santana transporte me regular ltda, tudo nos estritos termos da fundamentação precedente que passa a fazer parte integrante deste dispositivo. "
3,"julgo improcedentes os pedidos constantes da presente reclamação trabalhista, conforme fundamentação acima. "
3,"julgo improcedente a pretensão contida na denúncia e absolvo marcelo josé da silvada imputação que lhe foi apresentada, tudo com fundamento no artigo 386, vii, do código de processo penal.após o trânsito em julgado desta sentença: 1) preencha- se o boletim individual, encaminhando-o ao instituto de identificação criminal (art. 809 do cpp) 2) sem custas, diante da absolvição sentença publicada em audiência. "
0,defiro pelo prazo improrrogável de 10 (dez) dias. 
1,extinto o processo por abandono da causa pelo autor 
3,decido tempestivo. 
0,"defiro o benefício à autora, com fulcro no art. 790, § 3°, da clt. defiro os reflexos dessa verba nas férias mais 1/3, 13º salários, nas horas extras (base de cálculo), licenças prêmio, dsr, abono assiduidade, gratificação semestral e no fgts, respeitada a prescrição trintenária quanto a essa verba. decide este juízo conceder o benefício da justiça gratuita à reclamante, acolher aprescrição da pretensão autoral quantos aos créditos anteriores a 02/01/12, nos termos do art. 487, ii, do ncpc com expressa ressalva da prescrição do fgts que é trintenária rejeitar a prejudicial de prescrição total e julgar procedentes em parte os pedidos formulados por francisca lucia de sousa, contra banco do brasil s.a., para reconhecer a natureza salarial da parcela auxílio alimentação no caso dos autos e condenar o réu a pagar à reclamante os reflexos dessa verba nas férias mais 1/3, 13º salários, nas horas extras (base de cálculo), licenças prêmio, dsr, abono assiduidade, gratificação semestral e no fgts, respeitada a prescrição trintenária quanto a essa verba. "
1,"acolho para aditar na sentença: ""(...)inicialmente, acolho a preliminar de ilegitimidade passiva da ré maria josé monteiro, uma vez que esta não detém a propr... "
3,nego a contradita. 
3,"acolho os cartões de ponto como hábeis à prova da jornada. julgo improcedente o pedido de pagamento de horas extra. julgo improcedente o pedido de dobra dos domingos e feriados."" antes de mais nada, esclareça-se que é obrigação do empregador, que possui mais de 10 empregados, a obrigação de apresentar os controles de ponto do empregado, a teor do artigo 74, § 2º, da clt. condeno a reclamada ao pagamento de horas extras pelo excesso da oitava diária e quadragésima quarta semanal, acrescidas do adicional normativo, com reflexos em verbas rescisórias, férias acrescidas de 1/3, 13º salário, fgts acrescido de 40% e rsr. acolho parcialmente os embargos de declaração para determinar que quando da fase de liquidação sejam deduzidos os valores comprovadamente pagos a título de horas extraordinárias. "
0,defiro a habilitação de fls.522 usque. 
3,defiro o requerimento do id. 6e40dc6 - pág. 
1,"acolho a preliminar de ilegitimidade passiva aduzida pelo réu. julgo extinto o processo sem resolução do mérito por ilegitimidade passiva quanto ao pedido de repetição de indébito do período de 03/2007 a 02/2008 e parcialmente procedentes os demais pedidos formulados por maria silva em face do instituto nacional do seguro social inss. condeno o réu ao pagamento, em favor da autora, do benefício auxílio-doença acidentário, espécie 91, a partir do 16º dia da data do acidente até 14/08/2006, de 31/08/2007 a 31/10/2008 e de 21/11/2009 a 28/01/2010, devendo as parcelas vencidas deverão ser acrescidas de correção monetária, calculadas a partir de cada um dos vencimentos, e de juros de mora a contar da citação, observados os critérios previstos na lei 11.960/09. condeno o réu, ainda, a efetuar o pagamento, em favor da autora, dos valores correspondentes às diferenças entre o benefício auxílio-doença, espécie 31, e o benefício auxílio-doença, espécie 91, do período compreendido entre 09/03/2010 a 16/04/2010, monetariamente acrescidas de correção monetária, calculadas a partir de cada um dos vencimentos, e de juros de mora a contar da citação, observados os critérios previstos na lei 11.960/09. condeno o réu, outrossim, ao pagamento, em favor da autora, do benefício auxílio-acidente, na proporção de 50% do salário de benefício, nos termos do artigo 86, parágrafo 1º. condeno o réu, ainda, ao pagamento de honorários advocatícios equivalentes a 15% do valor da condenação, incidente sobre as parcelas devidas até a data da prolação da sentença (art. 20, § 3º do código de processo civil e súmula 111 do superior tribunal de justiça). "
1,extinto o processo por abandono da causa pelo autor 
3,acolho a impugnação e determino a retificação dos cálculos de liquidação para que seja apurado o adicional de periculosidade apenas até 13.10.2014. acolho a impugnação apresentada pela parte exequente para determinar ao contador a apuração das horas extras devidas até referida data. 
2,defiro o benefício da justiça gratuita. 
2,"nego provimento ao apelo obreiro.conclusãodiante do exposto, conheço do recurso ordinário e das contrarrazões, e, no mérito, nego provimento ao apelo.acórdãocabeçalho do acórdãoacórdãoacordam os desembargadores da 1ª turma do tribunal regional do trabalho da sexta região, por unanimidade, conhecer do recurso ordinário e das contrarrazões, e, no mérito, por unanimidade, negar provimento ao apelo, tendo o exmo. "
0,"defiro o pagamento dos adicionais noturnos com os parâmetros acima. nego provimento.conclusãoante o exposto, provejo parcialmente o recurso ordinário para acrescer à condenação o pagamento de horas extras, acrescidas do adicional de 50%, a partir da 6ª hora diária e/ou 36ª semanal, conforme jornada fixada e, ante a habitualidade, os seus reflexos em férias 1/3, 13º salário, fgts 40%, repouso semanal remunerado, adicional noturno e aviso prévio além da restituição dos valores indevidamente deduzidos do seu contracheque sob a rubrica ""mensalidade associativa"", ""contribuição associativa"", ""contribuição assistencial"", ""taxa assistencial"" e ""faltas"". declaro a natureza salarial das parcelas da condenação, com exceção das repercussões em aviso prévio, férias indenizadas 1/3 e fgts 40%. "
1,"julgo extinto o processo sem resolução do mérito, em razão da inércia da parte demandante, conforme art. 485, iii do cpc. defiro a gratuidade. "
3,julgado improcedente o pedido 
3,"julgo improcedente a demanda, extinguindo o processo com resolução de mérito, nos termos do art. 269, i, do código de processo civil. "
3,"julgo extinta a presente execução fiscal, sem qualquer ônus para as partes. "
0,defiro carga dos autos pelo prazo de dez dias. 
2,"acolho a prescrição quinquenal, para extinguir, com resolução do mérito, as verbas anteriores a 02.01.2019, com fulcro no art. 487, ii do cpc. julgo improcedente o pedido de pagamento da diferença do adicional de insalubridade. julgo procedente o pedido. defiro ao autor os benefícios da justiça gratuita, a teor do artigo 790, § 3º da clt, por vislumbrarmos presentes os pressupostos. "
3,"defiro desde já a expedição de ofícios requisitórios eletrônicos (prc/rpv) ao trf da3ª região, conforme norma que rege a matéria. "
1,acolho a sugestão do sr. 
1,"julgo extinto o processo sem resolução do mérito, nos termos do art. 485, iv e vi, do cpc c/c art. 6º, 5º da lei n. 12.016/2009. "
2,acolho a manifestação do ministério público e indefiro os pedidos de liberdade provisória e liberação do celular. 
2,"declaro que o imóvel dado em pagamento é aquele com superfície de 5.110,27m² , matriculado no 2º ofício do serviço registrário sob o número 3.722 e determino que imobiliária gramacho , no prazo avençado (90 dias) , cumpra o item ii de fls. 334 , anotando-se que conduta refratária será sancionada com multa automática de r$ 10.000,00 e diária de r$ 1.000,00. "
1,extinto o processo por abandono da causa pelo autor 
